"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"14","插件管理","插件安装","插件中心页","本地安装","执行本地包安装。","/workspaces/current/plugin/install/pkg","POST","同上","plugin_unique_identifiers[]","安装任务结果","plugin_installations, install_tasks","安装权限"
"15","插件管理","插件安装","插件中心页","GitHub 安装","执行 GitHub 插件安装。","/workspaces/current/plugin/install/github","POST","同上","plugin_unique_identifier, repo, version, package","安装结果","plugin_installations","安装权限"
"16","插件管理","插件安装","插件中心页","Marketplace 安装","执行市场插件安装。","/workspaces/current/plugin/install/marketplace","POST","同上","plugin_unique_identifiers[]","安装结果","plugin_installations","安装权限"
"17","插件管理","插件维护","插件中心页","卸载插件","删除已安装插件。","/workspaces/current/plugin/uninstall","POST","同上","plugin_installation_id","卸载结果","plugin_installations","安装权限"
"18","插件管理","插件维护","插件中心页","升级插件","从 marketplace 或 GitHub 升级插件。","/workspaces/current/plugin/upgrade/marketplace, /workspaces/current/plugin/upgrade/github","POST","同上","original_plugin_unique_identifier, new_plugin_unique_identifier, repo, version, package","升级结果","plugin_installations","安装权限"
"19","插件管理","任务队列","插件中心页","查看安装任务","查看插件安装任务列表。","/workspaces/current/plugin/tasks","GET","setup_required + login_required + account_initialization_required","page, page_size","安装任务列表","install_tasks","只读"
"20","插件管理","任务队列","插件中心页","查看单任务详情","查看安装任务详情。","/workspaces/current/plugin/tasks/<task_id>","GET","同上","task_id","单任务详情","install_tasks","只读"
"21","插件管理","任务队列","插件中心页","删除任务","删除指定任务或任务项。","/workspaces/current/plugin/tasks/<task_id>/delete, /workspaces/current/plugin/tasks/<task_id>/delete/<identifier>, /workspaces/current/plugin/tasks/delete_all","POST","同上","task_id, identifier","删除结果","install_tasks","清理队列"
"22","插件管理","权限管理","插件中心页","修改插件权限","设置安装权限和调试权限。","/workspaces/current/plugin/permission/change","POST","setup_required + login_required + account_initialization_required","install_permission, debug_permission","权限设置结果","tenant_plugin_permissions","权限管理"
"23","插件管理","权限管理","插件中心页","查看插件权限","查看当前插件权限配置。","/workspaces/current/plugin/permission/fetch","GET","setup_required + login_required + account_initialization_required","无","当前权限设置","tenant_plugin_permissions","只读"
"24","插件管理","偏好设置","插件中心页","修改插件偏好","设置自动升级策略、时间、模式、纳入/排除列表。","/workspaces/current/plugin/preferences/change","POST","setup_required + login_required + account_initialization_required","permission{}, auto_upgrade{strategy_setting, upgrade_time_of_day, upgrade_mode, exclude_plugins, include_plugins}","success=true","tenant_plugin_permissions, tenant_plugin_auto_upgrade_strategies","复杂配置"
"25","插件管理","偏好设置","插件中心页","查看插件偏好","查看当前偏好设置。","/workspaces/current/plugin/preferences/fetch","GET","setup_required + login_required + account_initialization_required","无","当前偏好设置","tenant_plugin_permissions, tenant_plugin_auto_upgrade_strategies","只读"
"26","插件管理","偏好设置","插件中心页","加入自动升级排除","将单个插件加入自动升级排除列表。","/workspaces/current/plugin/preferences/autoupgrade/exclude","POST","setup_required + login_required + account_initialization_required","plugin_id","排除结果","自动升级排除列表","单插件操作"
"27","插件管理","调试能力","插件中心页","动态选项调试","为插件参数拉取动态 options。","/workspaces/current/plugin/parameters/dynamic-options","GET","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","plugin_id, provider, action, parameter, credential_id, provider_type","动态选项数组","远程调取结果","管理员权限"
"28","插件管理","调试能力","插件中心页","带凭证动态选项调试","使用临时 credentials 获取动态 options。","/workspaces/current/plugin/parameters/dynamic-options-with-credentials","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","plugin_id, provider, action, parameter, credential_id, credentials{}","动态选项数组","远程调取结果","管理员权限"
"29","插件管理","说明文档","插件中心页","查看 README","查看插件说明文档。","/workspaces/current/plugin/readme","GET","setup_required + login_required + account_initialization_required","plugin_unique_identifier, language","README 内容","插件 README","只读"
